      t(s)           x(m)           y(m)
   4.51000        9.89831        0.71068
   4.52000        9.89786        0.71224
   4.53000        9.89741        0.71381
   4.54000        9.89695        0.71537
   4.55000        9.89649        0.71694
   4.56000        9.89604        0.71850
   4.57000        9.89558        0.72007
   4.58000        9.89512        0.72163
   4.59000        9.89466        0.72320
   4.60000        9.89420        0.72476
   4.61000        9.89374        0.72632
   4.62000        9.89327        0.72789
   4.63000        9.89281        0.72945
   4.64000        9.89235        0.73102
   4.65000        9.89188        0.73258
   4.66000        9.89141        0.73414
   4.67000        9.89094        0.73571
   4.68000        9.89047        0.73727
   4.69000        9.89000        0.73884
   4.70000        9.88953        0.74040
   4.71000        9.88906        0.74196
   4.72000        9.88859        0.74353
   4.73000        9.88811        0.74509
   4.74000        9.88764        0.74665
   4.75000        9.88716        0.74822
   4.76000        9.88669        0.74978
   4.77000        9.88621        0.75134
   4.78000        9.88573        0.75291
   4.79000        9.88525        0.75447
   4.80000        9.88477        0.75603
   4.81000        9.88428        0.75759
   4.82000        9.88380        0.75916
   4.83000        9.88332        0.76072
   4.84000        9.88283        0.76228
   4.85000        9.88234        0.76384
   4.86000        9.88186        0.76541
   4.87000        9.88137        0.76697
   4.88000        9.88088        0.76853
   4.89000        9.88039        0.77009
   4.90000        9.87990        0.77166
   4.91000        9.87941        0.77322
   4.92000        9.87891        0.77478
   4.93000        9.87842        0.77634
   4.94000        9.87792        0.77790
   4.95000        9.87743        0.77946
   4.96000        9.87693        0.78103
   4.97000        9.87643        0.78259
   4.98000        9.87593        0.78415
   4.99000        9.87543        0.78571
   5.00000        9.87493        0.78727
   5.01000        9.87442        0.78883
   5.02000        9.87392        0.79039
   5.03000        9.87342        0.79195
   5.04000        9.87291        0.79352
   5.05000        9.87240        0.79508
   5.06000        9.87190        0.79664
   5.07000        9.87139        0.79820
   5.08000        9.87088        0.79976
   5.09000        9.87037        0.80132
   5.10000        9.86986        0.80288
   5.11000        9.86934        0.80444
   5.12000        9.86883        0.80600
   5.13000        9.86831        0.80756
   5.14000        9.86780        0.80912
   5.15000        9.86728        0.81068
   5.16000        9.86676        0.81224
   5.17000        9.86624        0.81380
   5.18000        9.86573        0.81536
   5.19000        9.86520        0.81692
   5.20000        9.86468        0.81848
   5.21000        9.86416        0.82004
   5.22000        9.86364        0.82160
   5.23000        9.86311        0.82316
   5.24000        9.86258        0.82472
   5.25000        9.86206        0.82628
   5.26000        9.86153        0.82784
   5.27000        9.86100        0.82939
   5.28000        9.86047        0.83095
   5.29000        9.85994        0.83251
   5.30000        9.85941        0.83407
   5.31000        9.85887        0.83563
   5.32000        9.85834        0.83719
   5.33000        9.85780        0.83875
   5.34000        9.85727        0.84031
   5.35000        9.85673        0.84186
   5.36000        9.85619        0.84342
   5.37000        9.85565        0.84498
   5.38000        9.85511        0.84654
   5.39000        9.85457        0.84810
   5.40000        9.85403        0.84965
   5.41000        9.85349        0.85121
   5.42000        9.85294        0.85277
   5.43000        9.85240        0.85433
   5.44000        9.85185        0.85588
   5.45000        9.85130        0.85744
   5.46000        9.85076        0.85900
   5.47000        9.85021        0.86056
   5.48000        9.84966        0.86211
   5.49000        9.84910        0.86367
   5.50000        9.84855        0.86523
   5.51000        9.84800        0.86678
   5.52000        9.84744        0.86834
   5.53000        9.84689        0.86990
   5.54000        9.84633        0.87145
   5.55000        9.84577        0.87301
   5.56000        9.84522        0.87457
   5.57000        9.84466        0.87612
   5.58000        9.84410        0.87768
   5.59000        9.84353        0.87924
   5.60000        9.84297        0.88079
   5.61000        9.84241        0.88235
   5.62000        9.84184        0.88390
   5.63000        9.84128        0.88546
   5.64000        9.84071        0.88702
   5.65000        9.84014        0.88857
   5.66000        9.83957        0.89013
   5.67000        9.83900        0.89168
   5.68000        9.83843        0.89324
   5.69000        9.83786        0.89479
   5.70000        9.83729        0.89635
   5.71000        9.83671        0.89790
   5.72000        9.83614        0.89946
   5.73000        9.83556        0.90101
   5.74000        9.83499        0.90257
   5.75000        9.83441        0.90412
   5.76000        9.83383        0.90568
   5.77000        9.83325        0.90723
   5.78000        9.83267        0.90879
   5.79000        9.83209        0.91034
   5.80000        9.83150        0.91190
   5.81000        9.83092        0.91345
   5.82000        9.83033        0.91500
   5.83000        9.82975        0.91656
   5.84000        9.82916        0.91811
   5.85000        9.82857        0.91967
   5.86000        9.82798        0.92122
   5.87000        9.82739        0.92277
   5.88000        9.82680        0.92433
   5.89000        9.82621        0.92588
   5.90000        9.82562        0.92743
   5.91000        9.82502        0.92899
   5.92000        9.82443        0.93054
   5.93000        9.82383        0.93209
   5.94000        9.82323        0.93365
   5.95000        9.82264        0.93520
   5.96000        9.82204        0.93675
   5.97000        9.82144        0.93830
   5.98000        9.82083        0.93986
   5.99000        9.82023        0.94141
   6.00000        9.81963        0.94296
   6.01000        9.81902        0.94451
   6.02000        9.81842        0.94606
   6.03000        9.81781        0.94762
   6.04000        9.81720        0.94917
   6.05000        9.81659        0.95072
   6.06000        9.81599        0.95227
   6.07000        9.81537        0.95382
   6.08000        9.81476        0.95538
   6.09000        9.81415        0.95693
   6.10000        9.81354        0.95848
   6.11000        9.81292        0.96003
   6.12000        9.81231        0.96158
   6.13000        9.81169        0.96313
   6.14000        9.81107        0.96468
   6.15000        9.81045        0.96623
   6.16000        9.80983        0.96778
   6.17000        9.80921        0.96934
   6.18000        9.80859        0.97089
   6.19000        9.80797        0.97244
   6.20000        9.80734        0.97399
   6.21000        9.80672        0.97554
   6.22000        9.80609        0.97709
   6.23000        9.80546        0.97864
   6.24000        9.80484        0.98019
   6.25000        9.80421        0.98174
   6.26000        9.80358        0.98329
   6.27000        9.80295        0.98484
   6.28000        9.80231        0.98639
   6.29000        9.80168        0.98793
   6.30000        9.80105        0.98948
   6.31000        9.80041        0.99103
   6.32000        9.79978        0.99258
   6.33000        9.79914        0.99413
   6.34000        9.79850        0.99568
   6.35000        9.79786        0.99723
   6.36000        9.79722        0.99878
   6.37000        9.79658        1.00033
   6.38000        9.79594        1.00187
   6.39000        9.79529        1.00342
   6.40000        9.79465        1.00497
   6.41000        9.79400        1.00652
   6.42000        9.79336        1.00807
   6.43000        9.79271        1.00962
   6.44000        9.79206        1.01116
   6.45000        9.79141        1.01271
   6.46000        9.79076        1.01426
   6.47000        9.79011        1.01581
   6.48000        9.78946        1.01735
   6.49000        9.78880        1.01890
   6.50000        9.78815        1.02045
   6.51000        9.78749        1.02200
   6.52000        9.78683        1.02354
   6.53000        9.78618        1.02509
   6.54000        9.78552        1.02664
   6.55000        9.78486        1.02818
   6.56000        9.78420        1.02973
   6.57000        9.78353        1.03128
   6.58000        9.78287        1.03282
   6.59000        9.78221        1.03437
   6.60000        9.78154        1.03591
   6.61000        9.78088        1.03746
   6.62000        9.78021        1.03901
   6.63000        9.77954        1.04055
   6.64000        9.77887        1.04210
   6.65000        9.77820        1.04364
   6.66000        9.77753        1.04519
   6.67000        9.77686        1.04673
   6.68000        9.77619        1.04828
   6.69000        9.77551        1.04982
   6.70000        9.77484        1.05137
   6.71000        9.77416        1.05291
   6.72000        9.77348        1.05446
   6.73000        9.77280        1.05600
   6.74000        9.77212        1.05755
   6.75000        9.77144        1.05909
   6.76000        9.77076        1.06064
   6.77000        9.77008        1.06218
   6.78000        9.76940        1.06373
   6.79000        9.76871        1.06527
   6.80000        9.76803        1.06681
   6.81000        9.76734        1.06836
   6.82000        9.76665        1.06990
   6.83000        9.76596        1.07145
   6.84000        9.76527        1.07299
   6.85000        9.76458        1.07453
   6.86000        9.76389        1.07608
   6.87000        9.76320        1.07762
   6.88000        9.76251        1.07916
   6.89000        9.76181        1.08070
   6.90000        9.76111        1.08225
   6.91000        9.76042        1.08379
   6.92000        9.75972        1.08533
   6.93000        9.75902        1.08687
   6.94000        9.75832        1.08842
   6.95000        9.75762        1.08996
   6.96000        9.75692        1.09150
   6.97000        9.75621        1.09304
   6.98000        9.75551        1.09459
   6.99000        9.75481        1.09613
   7.00000        9.75410        1.09767
   7.01000        9.75339        1.09921
   7.02000        9.75268        1.10075
   7.03000        9.75197        1.10229
   7.04000        9.75126        1.10383
   7.05000        9.75055        1.10538
   7.06000        9.74984        1.10692
   7.07000        9.74913        1.10846
   7.08000        9.74841        1.11000
   7.09000        9.74770        1.11154
   7.10000        9.74698        1.11308
   7.11000        9.74626        1.11462
   7.12000        9.74554        1.11616
   7.13000        9.74482        1.11770
   7.14000        9.74410        1.11924
   7.15000        9.74338        1.12078
   7.16000        9.74266        1.12232
   7.17000        9.74194        1.12386
   7.18000        9.74121        1.12540
   7.19000        9.74049        1.12694
   7.20000        9.73976        1.12848
   7.21000        9.73903        1.13002
   7.22000        9.73830        1.13156
   7.23000        9.73757        1.13309
   7.24000        9.73684        1.13463
   7.25000        9.73611        1.13617
   7.26000        9.73538        1.13771
   7.27000        9.73464        1.13925
   7.28000        9.73391        1.14079
   7.29000        9.73317        1.14233
   7.30000        9.73243        1.14386
   7.31000        9.73169        1.14540
   7.32000        9.73096        1.14694
   7.33000        9.73022        1.14848
   7.34000        9.72947        1.15001
   7.35000        9.72873        1.15155
   7.36000        9.72799        1.15309
   7.37000        9.72724        1.15463
   7.38000        9.72650        1.15616
   7.39000        9.72575        1.15770
   7.40000        9.72500        1.15924
   7.41000        9.72426        1.16077
   7.42000        9.72351        1.16231
   7.43000        9.72276        1.16385
   7.44000        9.72200        1.16538
   7.45000        9.72125        1.16692
   7.46000        9.72050        1.16846
   7.47000        9.71974        1.16999
   7.48000        9.71899        1.17153
   7.49000        9.71823        1.17306
   7.50000        9.71747        1.17460
   7.51000        9.71671        1.17613
   7.52000        9.71595        1.17767
   7.53000        9.71519        1.17921
   7.54000        9.71443        1.18074
   7.55000        9.71367        1.18228
   7.56000        9.71290        1.18381
   7.57000        9.71214        1.18535
   7.58000        9.71137        1.18688
   7.59000        9.71060        1.18841
   7.60000        9.70984        1.18995
   7.61000        9.70907        1.19148
   7.62000        9.70830        1.19302
   7.63000        9.70753        1.19455
   7.64000        9.70675        1.19608
   7.65000        9.70598        1.19762
   7.66000        9.70521        1.19915
   7.67000        9.70443        1.20069
   7.68000        9.70365        1.20222
   7.69000        9.70288        1.20375
   7.70000        9.70210        1.20529
   7.71000        9.70132        1.20682
   7.72000        9.70054        1.20835
   7.73000        9.69976        1.20988
   7.74000        9.69897        1.21142
   7.75000        9.69819        1.21295
   7.76000        9.69740        1.21448
   7.77000        9.69662        1.21601
   7.78000        9.69583        1.21755
   7.79000        9.69504        1.21908
   7.80000        9.69425        1.22061
   7.81000        9.69346        1.22214
   7.82000        9.69267        1.22367
   7.83000        9.69188        1.22520
   7.84000        9.69109        1.22673
   7.85000        9.69029        1.22827
   7.86000        9.68950        1.22980
   7.87000        9.68870        1.23133
   7.88000        9.68790        1.23286
   7.89000        9.68711        1.23439
   7.90000        9.68631        1.23592
   7.91000        9.68551        1.23745
   7.92000        9.68470        1.23898
   7.93000        9.68390        1.24051
   7.94000        9.68310        1.24204
   7.95000        9.68229        1.24357
   7.96000        9.68149        1.24510
   7.97000        9.68068        1.24663
   7.98000        9.67987        1.24816
   7.99000        9.67907        1.24969
   8.00000        9.67826        1.25122
   8.01000        9.67744        1.25275
   8.02000        9.67663        1.25428
   8.03000        9.67582        1.25580
   8.04000        9.67501        1.25733
   8.05000        9.67419        1.25886
   8.06000        9.67337        1.26039
   8.07000        9.67256        1.26192
   8.08000        9.67174        1.26345
   8.09000        9.67092        1.26497
   8.10000        9.67010        1.26650
   8.11000        9.66928        1.26803
   8.12000        9.66846        1.26956
   8.13000        9.66763        1.27108
   8.14000        9.66681        1.27261
   8.15000        9.66598        1.27414
